doc_id,filename,title,source_type,format
001,Конкурс за доделување стипендии на редо...и наука - Република Северна Македонија (прв циклус).pdf,Конкурс за доделување стипендии на редовни студенти запишани на додипломски студии од прв циклус на јавните и приватните универзитети и високообразовни установи во Република Северна Македонија за студиската 2025/2026 година ЗА ВИДОТ НА СТУДЕНТСКИТЕ СТИПЕНДИИ И НАЧИНОТ НА ДОДЕЛУВАЊЕ НА СТУДЕНТСКИТЕ СТИПЕНДИИ НА СТУДЕНТИТЕ КОИ СТУДИРААТ ВО РЕПУБЛИКА МАКЕДОНИЈА,правилници/конкурси,pdf
002,Конкурс за доделување стипендии за акад...и наука - Република Северна Македонија (втор циклус).pdf,Конкурс за доделување стипендии за академски студии од втор циклус во земјата за академската 2025/2026 година,правилници/конкурси,pdf
003,Конкурс за доделување стипендии за акад...и наука - Република Северна Македонија.pdf,Конкурс за доделување стипендии за академски студии од трет циклус во земјата за академската 2025/2026 година,правилници/конкурси,pdf
004,PravilnikZaUpisPrvIVtorCiklus.pdf,"ПРАВИЛНИК за условите, правилата и постапката за запишување и студирање на прв циклус студии (додипломски студии) и втор циклус студии (постдипломски студии) на Универзитетот ,,Св. Кирил и Методиј'' во Скопје",правилници/конкурси,pdf
005,pravilnik-iii_ciklus-31.12.2020-glasnik_530.pdf,"ПРАВИЛНИК за условите, критериумите и правилата за запишување и студирање на трет циклус академски студии - докторски студии на Универзитетот ,,Св. Кирил и Методиј'' во Скопје",правилници/конкурси,pdf
006,Pravilnik stipendii.pdf,ПРАВИЛНИК ЗА ВИДОТ НА СТУДЕНТСКИТЕ СТИПЕНДИИ И НАЧИНОТ НА ДОДЕЛУВАЊЕ НА СТУДЕНТСКИТЕ СТИПЕНДИИ НА СТУДЕНТИТЕ КОИ СТУДИРААТ ВО РЕПУБЛИКА МАКЕДОНИЈА,правилници/конкурси,pdf
007,konkurs-iii-2026-27-mk.pdf,"КОНКУРС за запишување студенти на трет циклус академски студии - докторски студии на студентските програми на Универзитетот ,,Св. Кирил и Методиј'' во Скопје, во академската 2026/2027 година",правилници/конкурси,pdf
008,Words and Tokens.pdf,Words and Tokens,материјали за учење,pdf
009,Transformers.pdf,Transformers,материјали за учење,pdf
010,RNNs and LSTMs.pdf,RNNs and LSTMs,материјали за учење,pdf
011,RAG.pdf,Retrieval-Augmented Generation for Large Language Models: A Survey,материјали за учење,pdf
012,N-gram Language Models.pdf,N-gram Language Models,материјали за учење,pdf
013,MachineLearningApplications.pdf,"Machine Learning Applications, Authors: Praise Peace, Jane Donald, Richard Brown",материјали за учење,pdf
014,LargeLanguageModels.pdf,Large Language Models,материјали за учење,pdf
015,langchain.pdf,LangChain,материјали за учење,pdf
016,Information Retrival and Retrival-Augmented Generation.pdf,Information Retrieval and Retrieval-Augmented Generation,материјали за учење,pdf
017,GenAIvs.AgenticAI.pdf,Generative AI vs. Agentic AI: A Deep Dive into the Future of Intelligent Systems,материјали за учење,pdf
018,Embeddings.pdf,Embeddings,материјали за учење,pdf
019,DataMiningForTheMasses.pdf,Data Mining for the masses,материјали за учење,pdf
020,artificial-intelligence-and-machine-learning-101-pp-en.pdf,Artifcial Intelligence and Machine Learning 101,материјали за учење,pdf
021,"Machine Learning Operations (MLOps): Overview, Definition, and Architecture.pdf","Machine Learning Operations (MLOps): Overview, Definition, and Architecture",материјали за учење,pdf
022,Neural Networks.pdf,Neural Networks,материјали за учење,pdf
023,IE23 _ ФИНКИ.pdf,Информатичка едукација (4 годишни),студиски програми,pdf
024,SIIS23 _ ФИНКИ.pdf,Софтверско инженерство и информациски системи (4 годишни),студиски програми,pdf
025,SEIS23 _ ФИНКИ.pdf,Software engineering and information systems (4 years),студиски програми,pdf
026,PIT23 _ ФИНКИ.pdf,Примена на информациски технологии (4 годишни),студиски програми,pdf
027,KN23 _ ФИНКИ.pdf,Компјутерски науки (4 годишни),студиски програми,pdf
028,KI23 _ ФИНКИ.pdf,Компјутерско инженерство (4 годишни),студиски програми,pdf
029,IMB23 _ ФИНКИ.pdf,"Интернет, мрежи и безбедност (4 годишни)",студиски програми,pdf
030,"Lecture 1. Data measures, preprocesing, data transformation.pdf","Lecture 1. Data, Similarity Measures, Preprocessing, and Transformation of Data",предавања,pdf
031,Lecture 2. Basic Classification in  Data Mining.pdf,Lecture 2. Basic Classification in Data Mining,предавања,pdf
032,"Lecture 3. Overfitting, errors, model evaluation.pdf","Lecture 3. Errors, Overfitting, Model Selection, and Evaluation in Classification",предавања,pdf
033,"Lecture notes 5. Evaluation measures, Imbalanced classes, Cost Sensitive Classification.pdf","Lecture notes 5. Evaluation measures, Imbalanced classes, Cost Sensitive Classification",предавања,pdf
034,Lecture 6. Linear regression questions.pdf,Linear Regression Questions,предавања,pdf
035,Course_on_Bayesian_Data_analysis-18.pdf,Lecture notes in Statistical modeling (draft),предавања,pdf
